Scientific Name,Primary,Class,Order,Family,Genus,Species,Authority,Infrarank,Infrarank Type,Infrarank Authority,Red List Species ID,Modified Year,Category,Criteria
Asymbolus pallidus,TRUE,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Asymbolus,pallidus,"Last, Gomon &amp; Gledhill, 1999",,,,41723,2003,LC,
Asymbolus parvus,TRUE,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Asymbolus,parvus,"Compagno, Stevens &amp; Last, 1999",,,,41724,2003,LC,
Asymbolus rubiginosus,TRUE,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Asymbolus,rubiginosus,"Last, Gomon &amp; Gledhill, 1999",,,,41725,2015,LC,
Asymbolus submaculatus,TRUE,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Asymbolus,submaculatus,"Compagno, Stevens &amp; Last, 1999",,,,41726,2003,LC,
Asymbolus vincenti,TRUE,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Asymbolus,vincenti,"(Zietz, 1908)",,,,41727,2003,LC,
Atelomycterus baliensis,TRUE,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Atelomycterus,baliensis,"White, Last &amp; Dharmadi, 2005",,,,161736,2009,VU,"B1ab(i,iii,v)"
Atelomycterus fasciatus,TRUE,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Atelomycterus,fasciatus,"Compagno &amp; Stevens, 1993",,,,41728,2015,LC,
Atelomycterus macleayi,TRUE,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Atelomycterus,macleayi,"Whitley, 1939",,,,41729,2015,LC,
Atelomycterus marmoratus,TRUE,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Atelomycterus,marmoratus,"(Anonymous [Bennett], 1830)",,,,41730,2003,NT,
Atelomycterus marnkalha,TRUE,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Atelomycterus,marnkalha,"Jacobsen &amp; Bennett, 2007",,,,161434,2015,DD,
Atlantoraja castelnaui,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Atlantoraja,castelnaui,"(Miranda Ribeiro, 1907)",,,,44575,2004,EN,A2bd+3bd+4bd
Atlantoraja cyclophora,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Atlantoraja,cyclophora,"(Regan, 1903)",,,,61398,2006,VU,A3bd+4bd
Atlantoraja platana,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Atlantoraja,platana,"(Gí_nther, 1880)",,,,63110,2007,VU,A4bd
Aulohalaelurus kanakorum,TRUE,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Aulohalaelurus,kanakorum,"Sí©ret, 1990",,,,41870,2003,VU,B1ab(iii)
Aulohalaelurus labiosus,TRUE,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Aulohalaelurus,labiosus,"(Waite, 1905)",,,,41731,2015,LC,
Bathyraja abyssicola,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,abyssicola,"(Gilbert, 1896)",,,,2636,2015,DD,
Bathyraja aguja,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,aguja,"(Kendall &amp; Radcliffe, 1912)",,,,61399,2006,DD,
Bathyraja aleutica,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,aleutica,(Gilbert 1896),,,,161661,2015,LC,
Bathyraja andriashevi,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,andriashevi,"Dolganov, 1983",,,,161372,2009,LC,
Bathyraja bergi,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,bergi,"Dolganov, 1983",,,,161722,2009,LC,
Bathyraja brachyurops,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,brachyurops,"(Fowler, 1910)",,,,63111,2007,LC,
Bathyraja cousseauae,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,cousseauae,"Dí_az de Astarloa &amp; Mabragaí±a, 2004",,,,63106,2007,NT,
Bathyraja diplotaenia,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,diplotaenia,"(Ishiyama, 1952)",,,,161462,2009,LC,
Bathyraja eatonii,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,eatonii,"(Gí_nther, 1876)",,,,161739,2009,DD,
Bathyraja fedorovi,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,fedorovi,"Dolganov, 1983",,,,161623,2009,LC,
Bathyraja griseocauda,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,griseocauda,"(Norman, 1937)",,,,63113,2007,EN,A2bd+4bd
Bathyraja hesperafricana,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,hesperafricana,"Stehmann, 1995",,,,161641,2009,DD,
Bathyraja irrasa,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,irrasa,"Hureau &amp; Ozouf-Costaz, 1980",,,,161659,2009,NT,
Bathyraja ishiharai,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,ishiharai,"Stehmann, 2005",,,,161387,2015,DD,
Bathyraja isotrachys,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,isotrachys,"(Gí_nther, 1877)",,,,161454,2009,LC,
Bathyraja kincaidii,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,kincaidii,"(Garman, 1908)",,,,161706,2009,DD,
Bathyraja lindbergi,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,lindbergi,"Ishiyama &amp; Ishihara, 1977",,,,161430,2015,LC,
Bathyraja longicauda,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,longicauda,"(de Buen, 1959)",,,,44576,2004,DD,
Bathyraja maccaini,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,maccaini,"Springer, 1971",,,,161529,2009,NT,
Bathyraja maculata,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,maculata,"Ishiyama &amp; Ishihara, 1977",,,,161350,2015,LC,
Bathyraja mariposa,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,mariposa,"Stevenson, Orr, Hoff &amp; McEachran, 2004",,,,161319,2009,DD,
Bathyraja matsubarai,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,matsubarai,"(Ishiyama, 1952)",,,,161424,2009,DD,
Bathyraja meridionalis,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,meridionalis,"Stehmann, 1987",,,,161619,2009,DD,
Bathyraja microtrachys,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,microtrachys,"(Osburn &amp; Nichols, 1916)",,,,161683,2015,LC,
Bathyraja minispinosa,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,minispinosa,"Ishiyama &amp; Ishihara, 1977",,,,161381,2015,LC,
Bathyraja pallida,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,pallida,"(Forster, 1967)",,,,63115,2007,LC,
Bathyraja panthera,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,panthera,"Orr, Stevenson, Hoff, Spies &amp; McEachran, 2011",,,,80671020,2015,LC,
Bathyraja papilonifera,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,papilonifera,"Stehmann, 1985",,,,63112,2007,DD,
Bathyraja parmifera,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,parmifera,"(Bean, 1881)",,,,161471,2015,LC,
Bathyraja peruana,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,peruana,"McEachran &amp; Miyake, 1984",,,,63148,2007,DD,
Bathyraja richardsoni,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,richardsoni,"(Garrick, 1961)",,,,63127,2015,LC,
Bathyraja scaphiops,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,scaphiops,"(Norman, 1937)",,,,63145,2007,NT,
Bathyraja schroederi,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,schroederi,"(Krefft, 1968)",,,,63137,2007,DD,
Bathyraja shuntovi,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,shuntovi,"Dolganov, 1985",,,,161382,2009,DD,
